,Date,Team,Name,Injury
59,10/19/2022,ORL,Cole Anthony,DNP - Injury/Illness - N/A; Illness
60,10/19/2022,ORL,Kevon Harris,DNP - Coach's Decision
61,10/19/2022,ORL,Admiral Schofield,DNP - Coach's Decision
62,10/19/2022,DET,Buddy Boeheim,DNP - Coach's Decision
63,10/19/2022,DET,Braxton Key,DNP - Coach's Decision
64,10/19/2022,DET,Rodney McGruder,DNP - Coach's Decision
65,10/19/2022,DET,Nerlens Noel,DNP - Coach's Decision
66,10/19/2022,WAS,Johnny Davis,DNP - Coach's Decision
67,10/19/2022,WAS,Taj Gibson,DNP - Coach's Decision
68,10/19/2022,WAS,Jordan Goodwin,DNP - Coach's Decision
69,10/19/2022,WAS,Jordan Schakel,DNP - Coach's Decision
70,10/19/2022,WAS,Isaiah Todd,DNP - Coach's Decision
71,10/19/2022,IND,Kendall Brown,DNP - Coach's Decision
72,10/19/2022,IND,James Johnson,DNP - Coach's Decision
73,10/19/2022,IND,Andrew Nembhard,DNP - Coach's Decision
74,10/19/2022,IND,Myles Turner,DNP - Injury/Illness - Left Ankle; Sprain
75,10/19/2022,DAL,Jaden Hardy,DNP - Coach's Decision
76,10/19/2022,DAL,Theo Pinson,DNP - Coach's Decision
77,10/19/2022,DAL,Dwight Powell,DNP - Coach's Decision
78,10/19/2022,DAL,McKinley Wright IV,DNP - Coach's Decision
79,10/19/2022,PHX,Ish Wainright,DNP - Coach's Decision
80,10/19/2022,PHX,Duane Washington Jr.,DNP - Coach's Decision
81,10/19/2022,NOP,Willy Hernangomez,DNP - Coach's Decision
82,10/19/2022,NOP,Dereon Seabron,DNP - Coach's Decision
83,10/19/2022,NOP,Garrett Temple,DNP - Coach's Decision
84,10/19/2022,BKN,David Duke Jr.,DNP - Coach's Decision
85,10/19/2022,BKN,Alondes Williams,DNP - Coach's Decision
86,10/20/2022,LAC,Brandon Boston Jr.,DNP - Coach's Decision
87,10/20/2022,LAC,Moses Brown,DNP - Coach's Decision
88,10/20/2022,LAC,Amir Coffey,DNP - Coach's Decision
89,10/20/2022,LAC,Jason Preston,DNP - Coach's Decision
90,10/20/2022,LAL,Max Christie,DNP - Coach's Decision
91,10/20/2022,LAL,Wenyen Gabriel,DNP - Coach's Decision
92,10/20/2022,LAL,Scotty Pippen Jr.,DNP - Coach's Decision
93,10/20/2022,MIL,Thanasis Antetokounmpo,DNP - Coach's Decision
94,10/20/2022,MIL,MarJon Beauchamp,DNP - Coach's Decision
95,10/20/2022,MIL,A.J. Green,DNP - Coach's Decision
96,10/20/2022,MIL,Sandro Mamukelashvili,DNP - Coach's Decision
97,10/20/2022,PHI,Furkan Korkmaz,DNP - Coach's Decision
98,10/20/2022,PHI,Shake Milton,DNP - Coach's Decision
99,10/20/2022,PHI,Jaden Springer,DNP - Coach's Decision
100,10/21/2022,BOS,JD Davison,DNP - Coach's Decision
101,10/21/2022,BOS,Blake Griffin,DNP - Coach's Decision
102,10/21/2022,BOS,Justin Jackson,DNP - Coach's Decision
103,10/21/2022,BOS,Mfiondu Kabengele,DNP - Coach's Decision
104,10/21/2022,BOS,Luke Kornet,DNP - Coach's Decision
105,10/21/2022,BOS,Payton Pritchard,DNP - Coach's Decision
106,10/21/2022,MIA,Udonis Haslem,DNP - Coach's Decision
107,10/21/2022,MIA,Nikola Jovic,DNP - Coach's Decision
108,10/21/2022,MIA,Dru Smith,DNP - Coach's Decision
109,10/21/2022,ORL,Caleb Houstan,DNP - Coach's Decision
110,10/21/2022,ORL,Admiral Schofield,DNP - Coach's Decision
111,10/21/2022,ATL,Jarrett Culver,DNP - Coach's Decision
112,10/21/2022,ATL,Trent Forrest,DNP - Coach's Decision
113,10/21/2022,ATL,AJ Griffin,DNP - Coach's Decision
114,10/21/2022,ATL,Frank Kaminsky,DNP - Coach's Decision
115,10/21/2022,ATL,Vit Krejci,DNP - Coach's Decision
116,10/21/2022,ATL,Tyrese Martin,DNP - Coach's Decision
117,10/21/2022,NOP,Dyson Daniels,DNP - Coach's Decision
118,10/21/2022,NOP,Jaxson Hayes,DNP - Coach's Decision
119,10/21/2022,NOP,Dereon Seabron,DNP - Coach's Decision
120,10/21/2022,NOP,Garrett Temple,DNP - Coach's Decision
121,10/21/2022,CHA,Kai Jones,DNP - Coach's Decision
122,10/21/2022,CHA,Theo Maledon,DNP - Coach's Decision
123,10/21/2022,CHA,Bryce McGowens,DNP - Coach's Decision
124,10/21/2022,CHA,JT Thor,DNP - Coach's Decision
125,10/21/2022,CHA,Mark Williams,DNP - Coach's Decision
126,10/21/2022,UTA,Ochai Agbaji,DNP - Coach's Decision
127,10/21/2022,UTA,Nickeil Alexander-Walker,DNP - Coach's Decision
128,10/21/2022,UTA,Leandro Bolmaro,DNP - Coach's Decision
129,10/21/2022,UTA,Simone Fontecchio,DNP - Coach's Decision
130,10/21/2022,UTA,Johnny Juzang,DNP - Coach's Decision
131,10/21/2022,MIN,Nathan Knight,DNP - Coach's Decision
132,10/21/2022,MIN,Josh Minott,DNP - Coach's Decision
133,10/21/2022,MIN,Wendell Moore Jr.,DNP - Coach's Decision
134,10/21/2022,SAS,Malaki Branham,DNP - Coach's Decision
135,10/21/2022,SAS,Gorgui Dieng,DNP - Coach's Decision
136,10/21/2022,SAS,Romeo Langford,DNP - Coach's Decision
137,10/21/2022,SAS,Isaiah Roby,DNP - Coach's Decision
138,10/21/2022,SAS,Blake Wesley,DNP - Coach's Decision
139,10/21/2022,IND,Oshae Brissett,DNP - Coach's Decision
140,10/21/2022,IND,Myles Turner,DNP - Injury/Illness - Left Ankle Sprain
141,10/21/2022,DEN,Vlatko Cancar,DNP - Coach's Decision
142,10/21/2022,DEN,Zeke Nnaji,DNP - Coach's Decision
143,10/21/2022,DEN,Ish Smith,DNP - Coach's Decision
144,10/21/2022,DEN,Peyton Watson,DNP - Coach's Decision
145,10/21/2022,DEN,Jack White,DNP - Coach's Decision
146,10/21/2022,GSW,Ryan Rollins,DNP - Coach's Decision
147,10/21/2022,PHX,Dario Saric,DNP - Coach's Decision
148,10/21/2022,PHX,Ish Wainright,DNP - Coach's Decision
149,10/21/2022,PHX,Duane Washington Jr.,DNP - Coach's Decision
150,10/21/2022,POR,Greg Brown III,DNP - Coach's Decision
151,10/21/2022,POR,Keon Johnson,DNP - Coach's Decision
152,10/21/2022,POR,Jabari Walker,DNP - Coach's Decision
153,10/21/2022,CHI,Tony Bradley,DNP - Coach's Decision
154,10/21/2022,CHI,Malcolm Hill,DNP - Coach's Decision
155,10/21/2022,CHI,Derrick Jones Jr.,DNP - Coach's Decision
156,10/21/2022,CHI,Marko Simonovic,DNP - Coach's Decision
157,10/21/2022,CHI,Dalen Terry,DNP - Coach's Decision
158,10/21/2022,WAS,Johnny Davis,DNP - Coach's Decision
159,10/21/2022,WAS,Taj Gibson,DNP - Coach's Decision
160,10/21/2022,WAS,Jordan Goodwin,DNP - Coach's Decision
161,10/21/2022,WAS,Jordan Schakel,DNP - Coach's Decision
162,10/21/2022,WAS,Isaiah Todd,DNP - Coach's Decision
163,10/21/2022,MEM,Kennedy Chandler,DNP - Coach's Decision
164,10/21/2022,MEM,Kenneth Lofton Jr.,DNP - Coach's Decision
165,10/21/2022,MEM,Vince Williams Jr.,DNP - Coach's Decision
166,10/21/2022,HOU,Usman Garuba,DNP - Coach's Decision
167,10/21/2022,HOU,Trevor Hudgins,DNP - Coach's Decision
168,10/21/2022,HOU,Boban Marjanovic,DNP - Coach's Decision
169,10/21/2022,HOU,Daishen Nix,DNP - Coach's Decision
170,10/21/2022,TOR,Khem Birch,DNP - Coach's Decision
171,10/21/2022,TOR,Justin Champagnie,DNP - Coach's Decision
172,10/21/2022,TOR,Jeff Dowtin,DNP - Coach's Decision
173,10/21/2022,TOR,Malachi Flynn,DNP - Coach's Decision
174,10/21/2022,TOR,Ron Harper Jr.,DNP - Coach's Decision
175,10/21/2022,TOR,Juancho Hernangomez,DNP - Coach's Decision
176,10/21/2022,BKN,David Duke Jr.,DNP - Coach's Decision
177,10/21/2022,BKN,Kessler Edwards,DNP - Coach's Decision
178,10/21/2022,BKN,Edmond Sumner,DNP - Coach's Decision
179,10/21/2022,BKN,Cam Thomas,DNP - Coach's Decision
180,10/21/2022,BKN,Yuta Watanabe,DNP - Coach's Decision
181,10/21/2022,BKN,Alondes Williams,DNP - Coach's Decision
182,10/21/2022,DET,Nerlens Noel,DNP - Coach's Decision
183,10/22/2022,BOS,JD Davison,DNP - Coach's Decision
184,10/22/2022,BOS,Justin Jackson,DNP - Coach's Decision
185,10/22/2022,BOS,Mfiondu Kabengele,DNP - Coach's Decision
186,10/22/2022,ORL,Caleb Houstan,DNP - Coach's Decision
187,10/22/2022,ORL,Admiral Schofield,DNP - Coach's Decision
188,10/22/2022,DET,Buddy Boeheim,DNP - Coach's Decision
189,10/22/2022,DET,Braxton Key,DNP - Coach's Decision
190,10/22/2022,DET,Kevin Knox II,DNP - Coach's Decision
191,10/22/2022,DET,Rodney McGruder,DNP - Coach's Decision
192,10/22/2022,DET,Nerlens Noel,DNP - Coach's Decision
193,10/22/2022,IND,Oshae Brissett,DNP - Coach's Decision
194,10/22/2022,IND,James Johnson,DNP - Coach's Decision
195,10/22/2022,TOR,Khem Birch,DNP - Coach's Decision
196,10/22/2022,TOR,Justin Champagnie,DNP - Coach's Decision
197,10/22/2022,TOR,Jeff Dowtin,DNP - Coach's Decision
198,10/22/2022,TOR,Ron Harper Jr.,DNP - Coach's Decision
199,10/22/2022,TOR,Juancho Hernangomez,DNP - Coach's Decision
200,10/22/2022,MIA,Udonis Haslem,DNP - Coach's Decision
201,10/22/2022,MIA,Haywood Highsmith,DNP - Coach's Decision
202,10/22/2022,MIA,Nikola Jovic,DNP - Coach's Decision
203,10/22/2022,MIA,Dru Smith,DNP - Coach's Decision
204,10/22/2022,LAC,Brandon Boston Jr.,DNP - Coach's Decision
205,10/22/2022,LAC,Moses Brown,DNP - Coach's Decision
206,10/22/2022,LAC,Moussa Diabate,DNP - Coach's Decision
207,10/22/2022,LAC,Jason Preston,DNP - Coach's Decision
208,10/22/2022,SAC,Matthew Dellavedova,DNP - Coach's Decision
209,10/22/2022,SAC,Alex Len,DNP - Coach's Decision
210,10/22/2022,SAC,Trey Lyles,DNP - Coach's Decision
211,10/22/2022,SAC,Chima Moneke,DNP - Coach's Decision
212,10/22/2022,CHI,Malcolm Hill,DNP - Coach's Decision
213,10/22/2022,SAS,Malaki Branham,DNP - Coach's Decision
214,10/22/2022,SAS,Jordan Hall,DNP - Coach's Decision
215,10/22/2022,SAS,Romeo Langford,DNP - Coach's Decision
216,10/22/2022,PHI,Furkan Korkmaz,DNP - Coach's Decision
217,10/22/2022,PHI,Shake Milton,DNP - Coach's Decision
218,10/22/2022,PHI,Paul Reed,DNP - Coach's Decision
219,10/22/2022,PHI,Jaden Springer,DNP - Coach's Decision
220,10/22/2022,OKC,Isaiah Joe,DNP - Coach's Decision
221,10/22/2022,OKC,Jaylin Williams,DNP - Coach's Decision
222,10/22/2022,DEN,Vlatko Cancar,DNP - Coach's Decision
223,10/22/2022,DEN,DeAndre Jordan,DNP - Coach's Decision
224,10/22/2022,DEN,Davon Reed,DNP - Coach's Decision
225,10/22/2022,DEN,Ish Smith,DNP - Coach's Decision
226,10/22/2022,DEN,Peyton Watson,DNP - Coach's Decision
227,10/23/2022,ATL,Frank Kaminsky,DNP - Coach's Decision
228,10/23/2022,MIN,Austin Rivers,DNP - Coach's Decision
229,10/23/2022,UTA,Ochai Agbaji,DNP - Coach's Decision
230,10/23/2022,UTA,Nickeil Alexander-Walker,DNP - Coach's Decision
231,10/23/2022,UTA,Leandro Bolmaro,DNP - Coach's Decision
232,10/23/2022,NOP,Dyson Daniels,DNP - Coach's Decision
233,10/23/2022,NOP,Willy Hernangomez,DNP - Coach's Decision
234,10/23/2022,NOP,Dereon Seabron,DNP - Coach's Decision
235,10/23/2022,NOP,Garrett Temple,DNP - Coach's Decision
236,10/23/2022,POR,Greg Brown III,DNP - Coach's Decision
237,10/23/2022,POR,Keon Johnson,DNP - Coach's Decision
238,10/23/2022,POR,Jabari Walker,DNP - Coach's Decision
239,10/23/2022,LAL,Max Christie,DNP - Coach's Decision
240,10/23/2022,LAL,Wenyen Gabriel,DNP - Coach's Decision
241,10/23/2022,LAL,Scotty Pippen Jr.,DNP - Coach's Decision
242,10/23/2022,LAL,Matt Ryan,DNP - Coach's Decision
243,10/23/2022,WAS,Vernon Carey Jr.,DNP - Coach's Decision
244,10/23/2022,WAS,Johnny Davis,DNP - Coach's Decision
245,10/23/2022,WAS,Taj Gibson,DNP - Coach's Decision
246,10/23/2022,WAS,Jordan Goodwin,DNP - Coach's Decision
247,10/23/2022,WAS,Isaiah Todd,DNP - Coach's Decision
248,10/23/2022,CLE,Isaiah Mobley,DNP - Coach's Decision
249,10/23/2022,CLE,Lamar Stevens,DNP - Coach's Decision
250,10/23/2022,PHX,Bismack Biyombo,DNP - Coach's Decision
251,10/23/2022,PHX,Dario Saric,DNP - Coach's Decision
252,10/23/2022,SAC,Matthew Dellavedova,DNP - Coach's Decision
253,10/23/2022,SAC,Alex Len,DNP - Coach's Decision
254,10/23/2022,SAC,Chima Moneke,DNP - Coach's Decision
255,10/23/2022,GSW,Patrick Baldwin Jr.,DNP - Coach's Decision
256,10/24/2022,IND,James Johnson,DNP - Coach's Decision
257,10/24/2022,CHI,Marko Simonovic,DNP - Coach's Decision
258,10/24/2022,ORL,Kevon Harris,DNP - Coach's Decision
259,10/24/2022,ORL,Admiral Schofield,DNP - Coach's Decision
260,10/24/2022,NYK,Ryan Arcidiacono,DNP - Coach's Decision
261,10/24/2022,NYK,Miles McBride,DNP - Coach's Decision
262,10/24/2022,NYK,Svi Mykhailiuk,DNP - Coach's Decision
263,10/24/2022,NYK,Jericho Sims,DNP - Coach's Decision
264,10/24/2022,BKN,Kessler Edwards,DNP - Coach's Decision
265,10/24/2022,BKN,Cam Thomas,DNP - Coach's Decision
266,10/24/2022,MEM,Kennedy Chandler,DNP - Coach's Decision
267,10/24/2022,MEM,Kenneth Lofton Jr.,DNP - Coach's Decision
268,10/24/2022,MEM,Xavier Tillman,DNP - Coach's Decision
269,10/24/2022,MEM,Vince Williams Jr.,DNP - Coach's Decision
270,10/24/2022,UTA,Ochai Agbaji,DNP - Coach's Decision
271,10/24/2022,UTA,Leandro Bolmaro,DNP - Coach's Decision
272,10/24/2022,HOU,Trevor Hudgins,DNP - Coach's Decision
273,10/24/2022,TOR,Justin Champagnie,DNP - Coach's Decision
274,10/24/2022,TOR,Jeff Dowtin,DNP - Coach's Decision
275,10/24/2022,TOR,Ron Harper Jr.,DNP - Coach's Decision
276,10/24/2022,TOR,Juancho Hernangomez,DNP - Coach's Decision
277,10/24/2022,TOR,Thaddeus Young,DNP - Coach's Decision
278,10/24/2022,MIA,Jamal Cain,DNP - Coach's Decision
279,10/24/2022,MIA,Udonis Haslem,DNP - Coach's Decision
280,10/24/2022,MIA,Dru Smith,DNP - Coach's Decision
281,10/24/2022,SAS,Gorgui Dieng,DNP - Coach's Decision
282,10/24/2022,MIN,Wendell Moore Jr.,DNP - Coach's Decision
283,10/24/2022,DEN,Vlatko Cancar,DNP - Coach's Decision
284,10/25/2022,DAL,Tyler Dorsey,DNP - Coach's Decision
285,10/25/2022,DAL,Jaden Hardy,DNP - Coach's Decision
286,10/25/2022,DAL,Theo Pinson,DNP - Coach's Decision
287,10/25/2022,DAL,Dwight Powell,DNP - Coach's Decision
288,10/25/2022,DAL,McKinley Wright IV,DNP - Coach's Decision
289,10/25/2022,NOP,Willy Hernangomez,DNP - Coach's Decision
290,10/25/2022,NOP,Dereon Seabron,DNP - Coach's Decision
291,10/25/2022,NOP,Garrett Temple,DNP - Coach's Decision
292,10/25/2022,OKC,Jaylin Williams,DNP - Coach's Decision
293,10/25/2022,DET,Rodney McGruder,DNP - Coach's Decision
294,10/25/2022,DET,Nerlens Noel,DNP - Coach's Decision
295,10/25/2022,WAS,Vernon Carey Jr.,DNP - Coach's Decision
296,10/25/2022,PHX,Bismack Biyombo,DNP - Coach's Decision
297,10/25/2022,PHX,Dario Saric,DNP - Coach's Decision
298,10/25/2022,PHX,Duane Washington Jr.,DNP - Coach's Decision
299,10/26/2022,ORL,R.J. Hampton,DNP - Coach's Decision
300,10/26/2022,ORL,Admiral Schofield,DNP - Coach's Decision
301,10/26/2022,CLE,Mamadi Diakite,DNP - Coach's Decision
302,10/26/2022,CLE,Robin Lopez,DNP - Coach's Decision
303,10/26/2022,CLE,Lamar Stevens,DNP - Coach's Decision
304,10/26/2022,MIN,Bryn Forbes,DNP - Coach's Decision
305,10/26/2022,MIN,Nathan Knight,DNP - Coach's Decision
306,10/26/2022,MIN,Wendell Moore Jr.,DNP - Coach's Decision
307,10/26/2022,MIN,Austin Rivers,DNP - Coach's Decision
308,10/26/2022,MIL,Thanasis Antetokounmpo,DNP - Coach's Decision
309,10/26/2022,MIL,MarJon Beauchamp,DNP - Coach's Decision
310,10/26/2022,MIL,Serge Ibaka,DNP - Coach's Decision
311,10/26/2022,MIL,Sandro Mamukelashvili,DNP - Coach's Decision
312,10/26/2022,ATL,Jarrett Culver,DNP - Coach's Decision
313,10/26/2022,ATL,AJ Griffin,DNP - Coach's Decision
314,10/26/2022,ATL,Frank Kaminsky,DNP - Coach's Decision
315,10/26/2022,ATL,Vit Krejci,DNP - Coach's Decision
316,10/26/2022,ATL,Tyrese Martin,DNP - Coach's Decision
317,10/26/2022,DET,Rodney McGruder,DNP - Coach's Decision
318,10/26/2022,DET,Nerlens Noel,DNP - Coach's Decision
319,10/26/2022,IND,Goga Bitadze,DNP - Coach's Decision
320,10/26/2022,IND,Oshae Brissett,DNP - Coach's Decision
321,10/26/2022,IND,James Johnson,DNP - Coach's Decision
322,10/26/2022,CHI,Tony Bradley,DNP - Coach's Decision
323,10/26/2022,CHI,Marko Simonovic,DNP - Coach's Decision
324,10/26/2022,HOU,Josh Christopher,DNP - Coach's Decision
325,10/26/2022,HOU,Trevor Hudgins,DNP - Coach's Decision
326,10/26/2022,UTA,Ochai Agbaji,DNP - Coach's Decision
327,10/26/2022,UTA,Nickeil Alexander-Walker,DNP - Coach's Decision
328,10/26/2022,UTA,Leandro Bolmaro,DNP - Coach's Decision
329,10/26/2022,CHA,Kai Jones,DNP - Coach's Decision
330,10/26/2022,CHA,Mark Williams,DNP - Coach's Decision
331,10/26/2022,NYK,Ryan Arcidiacono,DNP - Coach's Decision
332,10/26/2022,NYK,Miles McBride,DNP - Coach's Decision
333,10/26/2022,NYK,Svi Mykhailiuk,DNP - Coach's Decision
334,10/26/2022,NYK,Jericho Sims,DNP - Coach's Decision
335,10/26/2022,PHI,Furkan Korkmaz,DNP - Coach's Decision
336,10/26/2022,PHI,Shake Milton,DNP - Coach's Decision
337,10/26/2022,PHI,Jaden Springer,DNP - Coach's Decision
338,10/26/2022,PHI,Matisse Thybulle,DNP - Coach's Decision
339,10/26/2022,TOR,Justin Champagnie,DNP - Coach's Decision
340,10/26/2022,TOR,Malachi Flynn,DNP - Coach's Decision
341,10/26/2022,TOR,Juancho Hernangomez,DNP - Coach's Decision
342,10/26/2022,TOR,Thaddeus Young,DNP - Coach's Decision
343,10/27/2022,DAL,Tyler Dorsey,DNP - Coach's Decision
344,10/27/2022,DAL,Jaden Hardy,DNP - Coach's Decision
345,10/27/2022,DAL,Theo Pinson,DNP - Coach's Decision
346,10/27/2022,DAL,Dwight Powell,DNP - Coach's Decision
347,10/27/2022,DAL,McKinley Wright IV,DNP - Coach's Decision
348,10/27/2022,BKN,Kessler Edwards,DNP - Coach's Decision
349,10/27/2022,BKN,Day'Ron Sharpe,DNP - Coach's Decision
350,10/27/2022,BKN,Cam Thomas,DNP - Coach's Decision
351,10/27/2022,MEM,Xavier Tillman,DNP - Coach's Decision
352,10/27/2022,MEM,Vince Williams Jr.,DNP - Coach's Decision
353,10/27/2022,SAC,Trey Lyles,DNP - Coach's Decision
354,10/27/2022,MIA,Jamal Cain,DNP - Coach's Decision
355,10/27/2022,MIA,Dewayne Dedmon,DNP - Injury/Illness - Left Foot; Plantar fasciitis
356,10/27/2022,MIA,Udonis Haslem,DNP - Coach's Decision
357,10/27/2022,MIA,Haywood Highsmith,DNP - Coach's Decision
358,10/27/2022,MIA,Dru Smith,DNP - Coach's Decision
359,10/27/2022,GSW,Patrick Baldwin Jr.,DNP - Coach's Decision
360,10/27/2022,GSW,Jonathan Kuminga,DNP - Coach's Decision
361,10/27/2022,GSW,Ryan Rollins,DNP - Coach's Decision
362,10/27/2022,OKC,Lindy Waters III,DNP - Coach's Decision
363,10/27/2022,OKC,Jaylin Williams,DNP - Coach's Decision
364,10/28/2022,IND,Oshae Brissett,DNP - Coach's Decision
365,10/28/2022,IND,James Johnson,DNP - Coach's Decision
366,10/28/2022,IND,Terry Taylor,DNP - Coach's Decision
367,10/28/2022,WAS,Taj Gibson,DNP - Coach's Decision
368,10/28/2022,WAS,Jordan Goodwin,DNP - Coach's Decision
369,10/28/2022,PHX,Dario Saric,DNP - Coach's Decision
370,10/28/2022,CHI,Tony Bradley,DNP - Coach's Decision
371,10/28/2022,CHI,Malcolm Hill,DNP - Coach's Decision
372,10/28/2022,CHI,Dalen Terry,DNP - Coach's Decision
373,10/28/2022,SAS,Malaki Branham,DNP - Coach's Decision
374,10/28/2022,SAS,Gorgui Dieng,DNP - Coach's Decision
375,10/28/2022,SAS,Romeo Langford,DNP - Coach's Decision
376,10/28/2022,HOU,Trevor Hudgins,DNP - Coach's Decision
377,10/28/2022,HOU,Boban Marjanovic,DNP - Coach's Decision
378,10/28/2022,LAL,Max Christie,DNP - Coach's Decision
379,10/28/2022,LAL,Matt Ryan,DNP - Coach's Decision
380,10/28/2022,MIN,Nathan Knight,DNP - Coach's Decision
381,10/28/2022,MIN,Naz Reid,DNP - Coach's Decision
382,10/28/2022,CLE,Robin Lopez,DNP - Coach's Decision
383,10/28/2022,CLE,Lamar Stevens,DNP - Coach's Decision
384,10/28/2022,BOS,Justin Jackson,DNP - Coach's Decision
385,10/28/2022,BOS,Payton Pritchard,DNP - Coach's Decision
386,10/28/2022,DET,Nerlens Noel,DNP - Coach's Decision
387,10/28/2022,PHI,Joel Embiid,DNP - Injury/Illness - Right Knee; Injury Recovery
388,10/28/2022,TOR,Khem Birch,DNP - Coach's Decision
389,10/28/2022,NYK,Ryan Arcidiacono,DNP - Coach's Decision
390,10/28/2022,NYK,Svi Mykhailiuk,DNP - Coach's Decision
391,10/28/2022,MIL,Thanasis Antetokounmpo,DNP - Coach's Decision
392,10/28/2022,MIL,MarJon Beauchamp,DNP - Coach's Decision
393,10/28/2022,MIL,Sandro Mamukelashvili,DNP - Coach's Decision
394,10/29/2022,MEM,Kenneth Lofton Jr.,DNP - Coach's Decision
395,10/29/2022,MEM,Vince Williams Jr.,DNP - Coach's Decision
396,10/29/2022,UTA,Udoka Azubuike,DNP - Coach's Decision
397,10/29/2022,UTA,Leandro Bolmaro,DNP - Coach's Decision
398,10/29/2022,UTA,Johnny Juzang,DNP - Coach's Decision
399,10/29/2022,UTA,Micah Potter,DNP - Coach's Decision
400,10/29/2022,MIA,Haywood Highsmith,DNP - Coach's Decision
401,10/29/2022,MIA,Dru Smith,DNP - Coach's Decision
402,10/29/2022,SAC,Matthew Dellavedova,DNP - Coach's Decision
403,10/29/2022,SAC,Chimezie Metu,DNP - Coach's Decision
404,10/29/2022,SAC,Chima Moneke,DNP - Coach's Decision
405,10/29/2022,OKC,Ousmane Dieng,DNP - Coach's Decision
406,10/29/2022,OKC,Jaylin Williams,DNP - Coach's Decision
407,10/29/2022,DAL,Facundo Campazzo,DNP - Coach's Decision
408,10/29/2022,DAL,Tyler Dorsey,DNP - Coach's Decision
