,Date,Team,Name,Injury
39,10/19/2022,NOP,Kira Lewis Jr.,Injury/Illness - Right Knee; ACL Injury Recovery
40,10/19/2022,NOP,E.J. Liddell,Injury/Illness - Right Knee; ACL Injury Recovery
41,10/19/2022,MEM,Dillon Brooks,Injury/Illness - Left Thigh; Soreness
42,10/19/2022,MEM,Danny Green,Injury/Illness - Left Knee; Surgery Recovery
43,10/19/2022,MEM,Jaren Jackson Jr.,Injury/Illness - Right Foot; Surgery Recovery
44,10/19/2022,MEM,Ziaire Williams,Injury/Illness - Right Knee; Soreness
45,10/19/2022,NYK,Quentin Grimes,Injury/Illness - Left Foot; Sore
46,10/19/2022,CHA,LaMelo Ball,Injury/Illness - Left Ankle; Sprain
47,10/19/2022,MIN,Eric Paschall,Injury/Illness - Left Ankle/Achilles; Tendinosis
48,10/19/2022,OKC,Chet Holmgren,Injury/Illness - Right Foot; Surgery
49,10/19/2022,DEN,Collin Gillespie,Injury/Illness - Right Lower Leg; Fracture
50,10/19/2022,UTA,Udoka Azubuike,Injury/Illness - Right Ankle; Surgery
51,10/19/2022,DAL,Davis Bertans,Injury/Illness - Right Knee; Effusion
52,10/19/2022,DAL,Tyler Dorsey,G League - Two-Way
53,10/19/2022,DAL,Frank Ntilikina,Injury/Illness - Right Ankle; Effusion
54,10/19/2022,PHX,Jae Crowder,Not With Team
55,10/19/2022,PHX,Landry Shamet,Injury/Illness - Left Hip; Strain
56,10/19/2022,POR,Gary Payton II,Return to Competition Reconditioning
57,10/19/2022,POR,Olivier Sarr,Injury/Illness - Right Wrist; Sprain
58,10/19/2022,POR,Trendon Watford,Injury/Illness - Right Hip; Flexor Strain
59,10/19/2022,SAC,Keegan Murray,Health and Safety Protocols
60,10/20/2022,MIL,Pat Connaughton,Injury/Illness - Right Calf; Strain
61,10/20/2022,MIL,Joe Ingles,Injury/Illness - Left Knee; ACL Surgery
62,10/20/2022,MIL,Khris Middleton,Injury/Illness - Left Wrist; Ligament Surgery
63,10/20/2022,LAL,Troy Brown Jr.,Injury/Illness - Low Back; Soreness
64,10/20/2022,LAL,Thomas Bryant,Injury/Illness - Left UCL; Repair
65,10/20/2022,LAL,Dennis Schroder,Injury/Illness - Right UCL; Repair
66,10/20/2022,LAL,Cole Swider,Injury/Illness - Right Foot; Soreness
67,10/21/2022,CHI,Kostas Antetokounmpo,G League - Two-Way
68,10/21/2022,CHI,Lonzo Ball,Injury/Illness - Left Knee; Surgery
69,10/21/2022,CHI,Zach LaVine,Injury/Illness - Left Knee; Injury Management
70,10/21/2022,WAS,Vernon Carey Jr.,Injury/Illness - Head; Concussion Protocol
71,10/21/2022,WAS,Corey Kispert,Injury/Illness - Left Ankle; Left ankle sprain
72,10/21/2022,CHA,LaMelo Ball,Injury/Illness - Left Ankle; Sprain
73,10/21/2022,CHA,Cody Martin,Injury/Illness - Left Quad; Soreness
74,10/21/2022,NOP,Jaxson Hayes,Injury/Illness - Left Elbow; UCL Tear
75,10/21/2022,NOP,Kira Lewis Jr.,Injury/Illness - Right Knee; ACL Injury Recovery
76,10/21/2022,NOP,E.J. Liddell,Injury/Illness - Right Knee; ACL Injury Recovery
77,10/21/2022,IND,Kendall Brown,G League - Two-Way
78,10/21/2022,IND,Trevelin Queen,G League - Two-Way
79,10/21/2022,IND,Daniel Theis,Injury/Illness - Right Knee; Soreness
80,10/21/2022,IND,Myles Turner,Injury/Illness - Left Ankle; Sprain.
81,10/21/2022,BOS,Danilo Gallinari,Injury/Illness - Left Knee; ACL Repair
82,10/21/2022,BOS,Robert Williams III,Injury/Illness - Left Knee; Surgery
83,10/21/2022,MIA,Victor Oladipo,Injury/Illness - Left Knee; Tendinosis
84,10/21/2022,MIA,Omer Yurtseven,Injury/Illness - Left Ankle; Impingement
85,10/21/2022,DET,Marvin Bagley III,Injury/Illness - Right Knee; Sprain
86,10/21/2022,DET,Alec Burks,Injury/Illness - Left Navicular; Fracture
87,10/21/2022,DET,Isaiah Livers,Injury/Illness - Right Hip; Soreness
88,10/21/2022,NYK,Quentin Grimes,Injury/Illness - Left Foot; sore
89,10/21/2022,ATL,Bogdan Bogdanovic,Injury/Illness - Right Knee; Injury Recovery
90,10/21/2022,ORL,Markelle Fultz,Injury/Illness - Left Big Toe; Fracture
91,10/21/2022,ORL,Gary Harris,Injury/Illness - Left Knee; Injury recovery
92,10/21/2022,ORL,Jonathan Isaac,Injury/Illness - Left Knee; Injury recovery
93,10/21/2022,ORL,Moritz Wagner,Injury/Illness - Right Midfoot; Sprain
94,10/21/2022,BKN,Seth Curry,Injury/Illness - Left Ankle; Injury Recovery
95,10/21/2022,BKN,T.J. Warren,Injury/Illness - Left Foot; Injury Recovery
96,10/21/2022,TOR,Khem Birch,Injury/Illness - Left Knee; Swelling
97,10/21/2022,TOR,Chris Boucher,Injury/Illness - Left Hamstring; Strain
98,10/21/2022,TOR,Otto Porter Jr.,Injury/Illness - Left Hamstring; Strain
99,10/21/2022,HOU,Daishen Nix,Injury/Illness - Back; Soreness
100,10/21/2022,HOU,Jae'Sean Tate,Injury/Illness - Left Ankle; Soreness
101,10/21/2022,HOU,TyTy Washington Jr.,Injury/Illness - Left Knee; Sprain
102,10/21/2022,MEM,Dillon Brooks,Injury/Illness - Left Thigh; Soreness
103,10/21/2022,MEM,Danny Green,Injury/Illness - Left Knee; Surgery Recovery
104,10/21/2022,MEM,Jaren Jackson Jr.,Injury/Illness - Right Foot; Surgery Recovery
105,10/21/2022,MEM,Ziaire Williams,Injury/Illness - Right Knee; Soreness
106,10/21/2022,UTA,Udoka Azubuike,Injury/Illness - Right Ankle; Surgery
107,10/21/2022,DEN,Collin Gillespie,Injury/Illness - Right Lower Leg; Fracture
108,10/21/2022,DEN,Jamal Murray,Injury/Illness - Left Knee; Injury Management
109,10/21/2022,GSW,Patrick Baldwin Jr.,Injury/Illness - Right Thumb; Sprain
110,10/21/2022,GSW,Andre Iguodala,Injury/Illness - Left Hip; Injury Management
111,10/21/2022,PHX,Jae Crowder,Not With Team
112,10/21/2022,PHX,Landry Shamet,Injury/Illness - Left Hip; Strain
113,10/21/2022,POR,Gary Payton II,Return to Competition Reconditioning
114,10/21/2022,POR,Olivier Sarr,Injury/Illness - Right Wrist; Sprain
115,10/21/2022,POR,Trendon Watford,Injury/Illness - Right Hip; Flexor Strain
116,10/22/2022,SAS,Dominick Barlow,G League - Two-Way
117,10/22/2022,BOS,Danilo Gallinari,Injury/Illness - Left Knee; ACL Repair
118,10/22/2022,BOS,Al Horford,Injury/Illness - Low Back; Stiffness
119,10/22/2022,BOS,Robert Williams III,Injury/Illness - Left Knee; Surgery
120,10/22/2022,ORL,Markelle Fultz,Injury/Illness - Left Big Toe; Fracture
121,10/22/2022,ORL,Gary Harris,Injury/Illness - Left Knee; Injury recovery
122,10/22/2022,ORL,Jonathan Isaac,Injury/Illness - Left Knee; Injury recovery
123,10/22/2022,ORL,Jalen Suggs,Injury/Illness - Right Ankle; Sprain
124,10/22/2022,ORL,Moritz Wagner,Injury/Illness - Right Midfoot; Sprain
125,10/22/2022,DET,Marvin Bagley III,Injury/Illness - Right Knee; Sprain
126,10/22/2022,DET,Alec Burks,Injury/Illness - Left Navicular; Fracture
127,10/22/2022,IND,Kendall Brown,G League - Two-Way
128,10/22/2022,IND,Trevelin Queen,G League - Two-Way
129,10/22/2022,IND,Daniel Theis,Injury/Illness - Right Knee; Sore
130,10/22/2022,IND,Myles Turner,Injury/Illness - Left Ankle; Sprain
131,10/22/2022,CHI,Lonzo Ball,Injury/Illness - Left Knee; Surgery
132,10/22/2022,CLE,Mamadi Diakite,Not With Team
133,10/22/2022,CLE,Darius Garland,Injury/Illness - Left Eye; Laceration
134,10/22/2022,CLE,Ricky Rubio,Injury/Illness - Left Knee; ACL Surgery
135,10/22/2022,CLE,Dylan Windler,Injury/Illness - Right Ankle; Sprain
136,10/22/2022,HOU,Bruno Fernando,Injury/Illness - Left Knee; Soreness
137,10/22/2022,HOU,Eric Gordon,Injury/Illness - Right Groin; Injury Maintenance
138,10/22/2022,HOU,Jae'Sean Tate,Injury/Illness - Left Ankle; Soreness
139,10/22/2022,HOU,TyTy Washington Jr.,Injury/Illness - Left Knee; Sprain
140,10/22/2022,MIL,Pat Connaughton,Injury/Illness - Right Calf; Strain
141,10/22/2022,MIL,Joe Ingles,Injury/Illness - Left Knee; ACL Surgery
142,10/22/2022,MIL,Khris Middleton,Injury/Illness - Left Wrist; Ligament Surgery
143,10/22/2022,MIA,Victor Oladipo,Injury/Illness - Left Knee; Tendinosis
144,10/22/2022,MIA,Omer Yurtseven,Injury/Illness - Left Ankle; Impingement
145,10/22/2022,TOR,Chris Boucher,Injury/Illness - Left Hamstring; Strain
146,10/22/2022,TOR,Otto Porter Jr.,Injury/Illness - Left Hamstring; Strain
147,10/22/2022,DAL,Davis Bertans,Injury/Illness - Right Knee; Effusion
148,10/22/2022,DAL,Frank Ntilikina,Injury/Illness - Right Ankle; Effusion
149,10/22/2022,MEM,Dillon Brooks,Injury/Illness - Left Thigh; Soreness
150,10/22/2022,MEM,Danny Green,Injury/Illness - Left Knee; Surgery Recovery
151,10/22/2022,MEM,Jaren Jackson Jr.,Injury/Illness - Right Foot; Surgery Recovery
152,10/22/2022,MEM,Ziaire Williams,Injury/Illness - Right Knee; Soreness
153,10/22/2022,DEN,Collin Gillespie,Injury/Illness - Right Lower Leg; Fracture
154,10/22/2022,OKC,Chet Holmgren,Injury/Illness - Right Foot; Surgery
155,10/22/2022,OKC,Jalen Williams,Injury/Illness - Right Orbital Bone; Fracture
156,10/22/2022,LAC,Kawhi Leonard,Injury/Illness - Right Knee; Injury Management
157,10/22/2022,LAC,John Wall,Injury/Illness - Left Knee; Injury Management
158,10/23/2022,LAL,Thomas Bryant,Injury/Illness - Left UCL; Repair
159,10/23/2022,LAL,Dennis Schroder,Injury/Illness - Right UCL; Repair
160,10/23/2022,LAL,Cole Swider,Injury/Illness - Right Foot; Soreness
161,10/23/2022,POR,Gary Payton II,Return to Competition Reconditioning
162,10/23/2022,POR,Olivier Sarr,Injury/Illness - Right Wrist; Sprain
163,10/23/2022,POR,Trendon Watford,Injury/Illness - Right Hip; Flexor Strain
164,10/23/2022,ATL,Bogdan Bogdanovic,Injury/Illness - Right Knee; Injury Recovery
165,10/23/2022,CHA,LaMelo Ball,Injury/Illness - Left Ankle; Sprain
166,10/23/2022,CHA,Cody Martin,Injury/Illness - Left Quad; Soreness
167,10/23/2022,CHA,Terry Rozier,Injury/Illness - Right Ankle; Sprain
168,10/23/2022,NOP,Kira Lewis Jr.,Injury/Illness - Right Knee; ACL Injury Recovery
169,10/23/2022,NOP,E.J. Liddell,Injury/Illness - Right Knee; ACL Injury Recovery
170,10/23/2022,UTA,Udoka Azubuike,Injury/Illness - Right Ankle; Surgery
171,10/23/2022,UTA,Johnny Juzang,G League - Two-Way
172,10/23/2022,UTA,Micah Potter,G League - Two-Way
173,10/23/2022,CLE,Mamadi Diakite,Not With Team
174,10/23/2022,CLE,Darius Garland,Injury/Illness - Left Eye; Laceration
175,10/23/2022,CLE,Ricky Rubio,Injury/Illness - Left Knee; ACL Surgery
176,10/23/2022,CLE,Dylan Windler,Injury/Illness - Right Ankle; Sprain
177,10/23/2022,WAS,Vernon Carey Jr.,Injury/Illness - Head; Concussion protocol
178,10/23/2022,WAS,Corey Kispert,Injury/Illness - Left Ankle; Left ankle sprain
179,10/23/2022,MIN,Kyle Anderson,Injury/Illness - Back; Spasms
180,10/23/2022,MIN,Luka Garza,G League - Two-Way
181,10/23/2022,MIN,Josh Minott,G League - On Assignment
182,10/23/2022,OKC,Shai Gilgeous-Alexander,Injury/Illness - Left Hip; Contusion
183,10/23/2022,OKC,Chet Holmgren,Injury/Illness - Right Foot; Surgery
184,10/23/2022,OKC,Jalen Williams,Injury/Illness - Right Orbital Bone; Fracture
185,10/23/2022,GSW,Patrick Baldwin Jr.,Injury/Illness - Right Thumb; Sprain
186,10/23/2022,GSW,Andre Iguodala,Injury/Illness - Left Hip; Injury Management
187,10/23/2022,PHX,Jae Crowder,Not With Team
188,10/23/2022,PHX,Ish Wainright,Injury/Illness - Low Back; Pain
189,10/24/2022,IND,Kendall Brown,G League - Two-Way
190,10/24/2022,IND,Trevelin Queen,G League - Two-Way
191,10/24/2022,IND,Daniel Theis,Injury/Illness - Right Knee; Sore
192,10/24/2022,IND,Myles Turner,Injury/Illness - Left Ankle; Sprain
193,10/24/2022,PHI,Julian Champagnie,G League - Two-Way
194,10/24/2022,PHI,Michael Foster Jr.,G League - Two-Way
195,10/24/2022,NYK,Quentin Grimes,Injury/Illness - Left Foot; sore
196,10/24/2022,NYK,Feron Hunt,G League - Two-Way
197,10/24/2022,NYK,Trevor Keels,G League - Two-Way
198,10/24/2022,ORL,Markelle Fultz,Injury/Illness - Left Big Toe; Fracture
199,10/24/2022,ORL,Gary Harris,Injury/Illness - Left Knee; Injury Recovery
200,10/24/2022,ORL,Jonathan Isaac,Injury/Illness - Left Knee; Injury Recovery
201,10/24/2022,ORL,Jalen Suggs,Injury/Illness - Right Ankle; Sprain
202,10/24/2022,ORL,Moritz Wagner,Injury/Illness - Right Midfoot; Sprain
203,10/24/2022,MIA,Nikola Jovic,League Suspension
204,10/24/2022,MIA,Caleb Martin,League Suspension
205,10/24/2022,MIA,Victor Oladipo,Injury/Illness - Left Knee; Tendinosis
206,10/24/2022,MIA,Omer Yurtseven,Injury/Illness - Left Ankle; Impingement
207,10/24/2022,TOR,Scottie Barnes,Injury/Illness - Right Ankle; Sprain
208,10/24/2022,TOR,Otto Porter Jr.,Injury/Illness - Left Hamstring; Strain
209,10/24/2022,BKN,Seth Curry,Injury/Illness - Left Ankle; Injury Recovery
210,10/24/2022,BKN,Markieff Morris,Personal Reasons
211,10/24/2022,BKN,T.J. Warren,Injury/Illness - Left Foot; Injury Recovery
212,10/24/2022,MEM,Danny Green,Injury/Illness - Left Knee; Surgery Recovery
213,10/24/2022,MEM,Jaren Jackson Jr.,Injury/Illness - Right Foot; Surgery Recovery
214,10/24/2022,MEM,Ziaire Williams,Injury/Illness - Right Knee; Soreness
215,10/24/2022,BOS,JD Davison,G League - Two-Way
216,10/24/2022,BOS,Danilo Gallinari,Injury/Illness - Left Knee; ACL Repair
217,10/24/2022,BOS,Mfiondu Kabengele,G League - Two-Way
218,10/24/2022,BOS,Robert Williams III,Injury/Illness - Left Knee; Surgery
219,10/24/2022,CHI,Lonzo Ball,Injury/Illness - Left Knee; Surgery
220,10/24/2022,MIN,Kyle Anderson,Injury/Illness - Back; Spasms
221,10/24/2022,MIN,Luka Garza,G League - Two-Way
222,10/24/2022,MIN,Josh Minott,G League - On Assignment
223,10/24/2022,MIN,Austin Rivers,Injury/Illness - Right Hip; Soreness
224,10/24/2022,SAS,Dominick Barlow,G League - Two-Way
225,10/24/2022,SAS,Charles Bassey,G League - Two-Way
226,10/24/2022,SAS,Malaki Branham,G League - On Assignment
227,10/24/2022,SAS,Jordan Hall,G League - Two-Way
228,10/24/2022,SAS,Blake Wesley,G League - On Assignment
229,10/24/2022,HOU,Darius Days,G League - Two-Way
230,10/24/2022,HOU,Bruno Fernando,Injury/Illness - Left Knee; Soreness
231,10/24/2022,HOU,Alperen Sengun,Injury/Illness - Illness; Illness
232,10/24/2022,HOU,Jae'Sean Tate,Injury/Illness - Left Ankle; Soreness
233,10/24/2022,HOU,TyTy Washington Jr.,Injury/Illness - Left Knee; Sprain
234,10/24/2022,UTA,Udoka Azubuike,Injury/Illness - Right Ankle; Surgery
235,10/24/2022,UTA,Johnny Juzang,G League - Two-Way
236,10/24/2022,UTA,Micah Potter,G League - Two-Way
237,10/24/2022,DEN,Collin Gillespie,Injury/Illness - Right Lower Leg; Fracture
238,10/24/2022,POR,Gary Payton II,Return to Competition Reconditioning
239,10/24/2022,POR,Olivier Sarr,Injury/Illness - Right Wrist; Sprain
240,10/24/2022,POR,Trendon Watford,Injury/Illness - Right Hip; Flexor Strain
241,10/24/2022,POR,Justise Winslow,Injury/Illness - Right Ankle; Sprain
242,10/25/2022,DET,Marvin Bagley III,Injury/Illness - Right Knee; Sprain
243,10/25/2022,DET,Buddy Boeheim,G League - Two-Way
244,10/25/2022,DET,Alec Burks,Injury/Illness - Left Navicular; Fracture
245,10/25/2022,DET,Braxton Key,G League - Two-Way
246,10/25/2022,WAS,Corey Kispert,Injury/Illness - Left Ankle; Left ankle sprain
247,10/25/2022,DAL,Davis Bertans,Injury/Illness - Right Knee; Effusion
248,10/25/2022,DAL,Tim Hardaway Jr.,Injury/Illness - Right Foot; Soreness
249,10/25/2022,DAL,Frank Ntilikina,Injury/Illness - Right Ankle; Effusion
250,10/25/2022,NOP,Brandon Ingram,Injury/Illness - Concussion; Protocols
251,10/25/2022,NOP,Herbert Jones,Injury/Illness - Right Knee; Hyperextension
252,10/25/2022,NOP,Kira Lewis Jr.,Injury/Illness - Right Knee; ACL Injury Recovery
253,10/25/2022,NOP,E.J. Liddell,Injury/Illness - Right Knee; ACL Injury Recovery
254,10/25/2022,NOP,Zion Williamson,Injury/Illness - Right Posterior Hip / Low Back; Contusion
255,10/25/2022,LAC,Moussa Diabate,G League - Two-Way
256,10/25/2022,LAC,Paul George,Injury/Illness - Illness; Non-Covid
257,10/25/2022,LAC,Kawhi Leonard,Injury/Illness - Right Knee; Injury Management
258,10/25/2022,LAC,Marcus Morris Sr.,Personal Reasons
259,10/25/2022,LAC,Jason Preston,G League - On Assignment
260,10/25/2022,OKC,Josh Giddey,Injury/Illness - Right Ankle; Sprain
261,10/25/2022,OKC,Chet Holmgren,Injury/Illness - Right Foot; Surgery
262,10/25/2022,OKC,Jalen Williams,Injury/Illness - Right Orbital Bone; Fracture
263,10/25/2022,GSW,Patrick Baldwin Jr.,G League - On Assignment
264,10/25/2022,GSW,Donte DiVincenzo,Injury/Illness - Left Hamstring; Strain
265,10/25/2022,GSW,Andre Iguodala,Injury/Illness - Left Hip; Injury Management
266,10/25/2022,GSW,Anthony Lamb,G League - Two-Way
267,10/25/2022,GSW,Ryan Rollins,G League - On Assignment
268,10/25/2022,PHX,Jae Crowder,Not With Team
269,10/25/2022,PHX,Ish Wainright,Injury/Illness - Low Back; Pain
270,10/26/2022,ATL,Bogdan Bogdanovic,Injury/Illness - Right Knee; Injury Recovery
271,10/26/2022,DET,Marvin Bagley III,Injury/Illness - Right Knee; Sprain
272,10/26/2022,DET,Buddy Boeheim,G League - Two-Way
273,10/26/2022,DET,Alec Burks,Injury/Illness - Left Navicular; Fracture
274,10/26/2022,DET,Jaden Ivey,Injury/Illness - Illness; Non-Covid Illness
275,10/26/2022,DET,Braxton Key,G League - Two-Way
276,10/26/2022,CLE,Darius Garland,Injury/Illness - Left Eye; Laceration
277,10/26/2022,CLE,Isaiah Mobley,G League - Two-Way
278,10/26/2022,CLE,Ricky Rubio,Injury/Illness - Left Knee; ACL Surgery
279,10/26/2022,CLE,Dylan Windler,Injury/Illness - Right Ankle; Sprain
280,10/26/2022,ORL,Markelle Fultz,Injury/Illness - Left Big Toe; Fracture
281,10/26/2022,ORL,Gary Harris,Injury/Illness - Left Knee; Injury Recovery
282,10/26/2022,ORL,Jonathan Isaac,Injury/Illness - Left Knee; Injury Recovery
283,10/26/2022,ORL,Jalen Suggs,Injury/Illness - Right Ankle; Sprain
284,10/26/2022,ORL,Moritz Wagner,Injury/Illness - Right Midfoot; Sprain
285,10/26/2022,BKN,Seth Curry,Injury/Illness - Left Ankle; Injury Recovery
286,10/26/2022,BKN,Markieff Morris,Personal Reasons
287,10/26/2022,BKN,T.J. Warren,Injury/Illness - Left Foot; Injury Recovery
288,10/26/2022,MIL,Pat Connaughton,Injury/Illness - Right Calf; Strain
289,10/26/2022,MIL,A.J. Green,G League - Two-Way
290,10/26/2022,MIL,Joe Ingles,Injury/Illness - Left Knee; ACL Surgery
291,10/26/2022,MIL,Khris Middleton,Injury/Illness - Left Wrist; Ligament Surgery
292,10/26/2022,CHA,LaMelo Ball,Injury/Illness - Left Ankle; Sprain
293,10/26/2022,CHA,Cody Martin,Injury/Illness - Left Quad; Soreness
294,10/26/2022,CHA,Terry Rozier,Injury/Illness - Right Ankle; Sprain
295,10/26/2022,NYK,Quentin Grimes,Injury/Illness - Left Foot; sore
296,10/26/2022,PHI,Julian Champagnie,G League - Two-Way
297,10/26/2022,PHI,Michael Foster Jr.,G League - Two-Way
298,10/26/2022,TOR,Justin Champagnie,-
299,10/26/2022,TOR,Jeff Dowtin,G League - Two-Way
300,10/26/2022,TOR,Ron Harper Jr.,G League - Two-Way
301,10/26/2022,TOR,Otto Porter Jr.,Injury/Illness - Left Hamstring; Strain
302,10/26/2022,CHI,Lonzo Ball,Injury/Illness - Left Knee; Surgery
303,10/26/2022,IND,Daniel Theis,Injury/Illness - Right Knee; Sore
304,10/26/2022,MIN,Kyle Anderson,Injury/Illness - Back; Spasms
305,10/26/2022,MIN,Luka Garza,G League - Two-Way
306,10/26/2022,MIN,Josh Minott,G League - On Assignment
307,10/26/2022,MIN,Austin Rivers,-
308,10/26/2022,SAS,Dominick Barlow,G League - Two-Way
309,10/26/2022,SAS,Charles Bassey,G League - Two-Way
310,10/26/2022,SAS,Malaki Branham,G League - On Assignment
311,10/26/2022,SAS,Joshua Primo,Injury/Illness - Left Glute; Spasms
312,10/26/2022,SAS,Devin Vassell,Injury/Illness - Left Knee; Soreness
313,10/26/2022,SAS,Blake Wesley,G League - On Assignment
314,10/26/2022,HOU,Darius Days,G League - Two-Way
315,10/26/2022,HOU,Bruno Fernando,Injury/Illness - Left Knee; Soreness
316,10/26/2022,HOU,Alperen Sengun,Injury/Illness - Illness; Illness
317,10/26/2022,HOU,TyTy Washington Jr.,Injury/Illness - Left Knee; Sprain
318,10/26/2022,UTA,Udoka Azubuike,Injury/Illness - Right Ankle; Surgery
319,10/26/2022,UTA,Johnny Juzang,G League - Two-Way
320,10/26/2022,UTA,Micah Potter,G League - Two-Way
321,10/26/2022,DEN,Collin Gillespie,Injury/Illness - Right Lower Leg; Fracture
322,10/26/2022,DEN,Michael Porter Jr.,Injury/Illness - Lumbar Spine; Injury Management
323,10/26/2022,LAL,Thomas Bryant,Injury/Illness - Left UCL; Repair
324,10/26/2022,LAL,Scotty Pippen Jr.,G League - Two-Way
325,10/26/2022,LAL,Dennis Schroder,Injury/Illness - Right UCL; Repair
326,10/26/2022,LAL,Cole Swider,G League - Two-Way
327,10/26/2022,LAL,Russell Westbrook,Injury/Illness - Left Hamstring; Soreness
328,10/26/2022,MIA,Victor Oladipo,Not With Team
329,10/26/2022,MIA,Omer Yurtseven,Injury/Illness - Left Ankle; Impingement
330,10/26/2022,POR,Gary Payton II,Return to Competition Reconditioning
331,10/26/2022,POR,Olivier Sarr,Injury/Illness - Right Wrist; Sprain
332,10/26/2022,POR,Trendon Watford,Injury/Illness - Right Hip; Flexor Strain
333,10/27/2022,BKN,Seth Curry,Injury/Illness - Left Ankle; Injury Recovery
334,10/27/2022,BKN,Joe Harris,Injury/Illness - Left Ankle; Injury Management
335,10/27/2022,BKN,Markieff Morris,Personal Reasons
336,10/27/2022,BKN,T.J. Warren,Injury/Illness - Left Foot; Injury Recovery
337,10/27/2022,DAL,Davis Bertans,Injury/Illness - Right Knee; Effusion
338,10/27/2022,DAL,Frank Ntilikina,Injury/Illness - Right Ankle; Effusion
339,10/27/2022,LAC,Kawhi Leonard,Injury/Illness - Right Knee; Injury Management
340,10/27/2022,LAC,Marcus Morris Sr.,Personal Reasons
341,10/27/2022,LAC,Jason Preston,G League - On Assignment
342,10/27/2022,OKC,Josh Giddey,Injury/Illness - Right Ankle; Sprain
343,10/27/2022,OKC,Chet Holmgren,Injury/Illness - Right Foot; Surgery
344,10/27/2022,OKC,Jalen Williams,Injury/Illness - Right Orbital Bone; Fracture
345,10/27/2022,MEM,Danny Green,Injury/Illness - Left Knee; Surgery Recovery
346,10/27/2022,MEM,Jaren Jackson Jr.,Injury/Illness - Right Foot; Surgery Recovery
347,10/27/2022,MEM,John Konchar,Injury/Illness - Left Shoulder; Soreness
348,10/27/2022,MEM,Ziaire Williams,Injury/Illness - Right Knee; Patellar Tendinitis
349,10/27/2022,GSW,Donte DiVincenzo,Injury/Illness - Left Hamstring; Strain
350,10/27/2022,GSW,Andre Iguodala,Injury/Illness - Left Hip; Injury Management
351,10/27/2022,MIA,Dewayne Dedmon,Injury/Illness - Left Foot; Plantar fasciitis
352,10/27/2022,MIA,Victor Oladipo,Not With Team
353,10/27/2022,MIA,Omer Yurtseven,Not With Team
